division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
8,(Inactive) Women's Masters (70-74) 81kg,2025-08-10T02:18:27.191Z,Unknown,1,1,0,UPLOAD_STARTED,59
9,(Inactive) Women's Masters (70-74) 87kg,2025-08-10T02:19:37.536Z,Unknown,1,1,0,UPLOAD_STARTED,65
10,(Inactive) Women's Masters (70-74) +87kg,2025-08-10T02:20:41.679Z,Unknown,1,1,0,UPLOAD_STARTED,59
11,(Inactive) Women's Masters (75+) +75 kg,2025-08-10T02:21:46.357Z,Unknown,1,1,0,UPLOAD_STARTED,60
12,(Inactive) Women's Masters (75+) 48 kg,2025-08-10T02:22:54.019Z,0,0,0,NO_UPLOAD_NEEDED,1754792511363,NaN
13,(Inactive) Women's Masters (75+) 53 kg,2025-08-10T02:24:01.952Z,0,0,0,NO_UPLOAD_NEEDED,1754792579088,NaN
14,(Inactive) Women's Masters (75+) 58 kg,2025-08-10T02:25:06.973Z,0,0,0,NO_UPLOAD_NEEDED,1754792646982,NaN
15,(Inactive) Women's Masters (75+) 63 kg,2025-08-10T02:26:17.586Z,0,0,0,NO_UPLOAD_NEEDED,1754792712002,NaN
16,(Inactive) Women's Masters (75+) 69 kg,2025-08-10T02:27:22.463Z,2,2,2,0,UPLOAD_STARTED,60
17,(Inactive) Women's Masters (75+) 75 kg,2025-08-10T02:28:25.127Z,2,2,2,0,UPLOAD_STARTED,58
18,(Inactive) Women's Masters (75+) 90 kg,2025-08-10T02:29:30.668Z,Unknown,1,1,0,UPLOAD_STARTED,61
19,(Inactive) Women's Masters (75+) +90 kg,2025-08-10T02:30:27.551Z,0,0,0,NO_UPLOAD_NEEDED,1754792975676,NaN
20,(Inactive) Women's Masters (75+) 45kg,2025-08-10T02:31:24.705Z,0,0,0,NO_UPLOAD_NEEDED,1754793032553,NaN
21,(Inactive) Women's Masters (75+) 49kg,2025-08-10T02:32:26.290Z,0,0,0,NO_UPLOAD_NEEDED,1754793089709,NaN
22,(Inactive) Women's Masters (75+) 55kg,2025-08-10T02:33:24.524Z,0,0,0,NO_UPLOAD_NEEDED,1754793151292,NaN
23,(Inactive) Women's Masters (75+) 59kg,2025-08-10T02:34:25.992Z,0,0,0,NO_UPLOAD_NEEDED,1754793209525,NaN
24,(Inactive) Women's Masters (75+) 64kg,2025-08-10T02:35:25.496Z,Unknown,1,1,0,UPLOAD_STARTED,54
25,(Inactive) Women's Masters (75+) 71kg,2025-08-10T02:36:25.928Z,Unknown,1,1,0,UPLOAD_STARTED,55
26,(Inactive) Women's Masters (75+) 76kg,2025-08-10T02:37:25.555Z,0,0,0,NO_UPLOAD_NEEDED,1754793390941,NaN
27,(Inactive) Women's Masters (75+) 81kg,2025-08-10T02:38:26.181Z,0,0,0,NO_UPLOAD_NEEDED,1754793450557,NaN
28,(Inactive) Women's Masters (75+) 87kg,2025-08-10T02:39:28.120Z,Unknown,1,1,0,UPLOAD_STARTED,57
29,(Inactive) Women's Masters (75+) +87kg,2025-08-10T02:40:29.134Z,0,0,0,NO_UPLOAD_NEEDED,1754793573122,NaN
30,(Inactive) Open Women's +75 kg,2025-08-10T02:46:46.274Z,1440,1440,1440,0,UPLOAD_STARTED,372
31,(Inactive) Open Women's 48 kg,2025-08-10T02:48:01.455Z,117,117,117,0,UPLOAD_STARTED,70
