division_number,division_name,timestamp,expected_athletes,athletes_scraped,athletes_successful,athletes_failed,upload_status,total_time_seconds
_2020
84,(Inactive) Women's Masters (70-74) 90 kg,2025-08-09T21:34:53.792Z,Unknown,1,1,0,UPLOAD_STARTED,51
85,(Inactive) Women's Masters (70-74) +90 kg,2025-08-09T21:35:49.957Z,0,0,0,NO_UPLOAD_NEEDED,1754775298794,NaN
_2021
1,(Inactive) Women's Masters (50-54) +75 kg,2025-08-10T01:13:38.173Z,39,39,39,0,UPLOAD_STARTED,137
2,(Inactive) Women's Masters (50-54) 48 kg,2025-08-10T01:14:41.149Z,3,3,3,0,UPLOAD_STARTED,58
3,(Inactive) Women's Masters (50-54) 53 kg,2025-08-10T01:15:43.224Z,8,8,8,0,UPLOAD_STARTED,57
4,(Inactive) Women's Masters (50-54) 58 kg,2025-08-10T01:16:49.490Z,34,34,34,0,UPLOAD_STARTED,61
5,(Inactive) Women's Masters (50-54) 63 kg,2025-08-10T01:17:58.581Z,58,58,58,0,UPLOAD_STARTED,64
6,(Inactive) Women's Masters (50-54) 69 kg,2025-08-10T01:19:12.263Z,84,84,84,0,UPLOAD_STARTED,69
7,(Inactive) Women's Masters (50-54) 75 kg,2025-08-10T01:20:31.155Z,108,108,108,0,UPLOAD_STARTED,74
8,(Inactive) Women's Masters (50-54) 90 kg,2025-08-10T01:21:35.690Z,27,27,27,0,UPLOAD_STARTED,60
9,(Inactive) Women's Masters (50-54) +90 kg,2025-08-10T01:22:37.268Z,14,14,14,0,UPLOAD_STARTED,57
10,(Inactive) Women's Masters (50-54) 45kg,2025-08-10T01:23:38.147Z,0,0,0,NO_UPLOAD_NEEDED,1754788962270,NaN
11,(Inactive) Women's Masters (50-54) 49kg,2025-08-10T01:24:40.605Z,7,7,7,0,UPLOAD_STARTED,57
12,(Inactive) Women's Masters (50-54) 55kg,2025-08-10T01:25:41.697Z,12,12,12,0,UPLOAD_STARTED,56
13,(Inactive) Women's Masters (50-54) 59kg,2025-08-10T01:26:44.634Z,26,26,26,0,UPLOAD_STARTED,58
14,(Inactive) Women's Masters (50-54) 64kg,2025-08-10T01:27:50.735Z,27,27,27,0,UPLOAD_STARTED,61
15,(Inactive) Women's Masters (50-54) 71kg,2025-08-10T01:28:56.947Z,32,32,32,0,UPLOAD_STARTED,61
16,(Inactive) Women's Masters (50-54) 76kg,2025-08-10T01:30:00.528Z,21,21,21,0,UPLOAD_STARTED,59
17,(Inactive) Women's Masters (50-54) 81kg,2025-08-10T01:31:03.108Z,11,11,11,0,UPLOAD_STARTED,57
18,(Inactive) Women's Masters (50-54) 87kg,2025-08-10T01:32:08.659Z,12,12,12,0,UPLOAD_STARTED,61
19,(Inactive) Women's Masters (50-54) +87kg,2025-08-10T01:33:12.534Z,14,14,14,0,UPLOAD_STARTED,59
20,(Inactive) Women's Masters (55-59) +75 kg,2025-08-10T01:34:17.613Z,22,22,22,0,UPLOAD_STARTED,60
21,(Inactive) Women's Masters (55-59) 48 kg,2025-08-10T01:35:18.891Z,3,3,3,0,UPLOAD_STARTED,56
